booking_id,ts,hour,dow,is_weekend,late_night,rain,provider_id,mode,campus_id,campus,employee_group,cost_centre,zone_id,zone_kind,zone_congestion_observed,distance_km,pickup_km,peak_intensity,short_trip_penalty,matched,accepted,cancelled,completed
bk_018518,2026-06-01T00:06:08,0.102,0,0,1,0,auto,auto,cmp_koramangala,Koramangala Annexe,Operations,CC-KORA-OPE,pl_koramangala,place,0.14526,3.342,0.707,0.0,0.2948,1,0,0,0
bk_029464,2026-06-01T01:51:14,1.854,0,0,1,0,cab,cab,cmp_koramangala,Koramangala Annexe,Engineering,CC-KORA-ENG,bs_356_09,bus_stop,0.0,1.336,0.657,0.0,0.6853,1,1,0,1
bk_004839,2026-06-01T02:17:07,2.286,0,0,1,0,carpool,carpool,cmp_koramangala,Koramangala Annexe,Support,CC-KORA-SUP,pl_home,place,0.20385,4.968,1.678,0.0,0.0713,1,0,0,0
bk_038350,2026-06-01T02:50:21,2.839,0,0,1,0,carpool,carpool,cmp_sarjapur,Sarjapur Road Campus,Leadership,CC-SARJ-LEA,mg_indiranagar,metro_station,0.42463,0.717,1.141,0.0,0.8262,0,0,0,0
bk_022006,2026-06-01T03:01:34,3.026,0,0,1,0,bike_taxi,rapido,cmp_sarjapur,Sarjapur Road Campus,Operations,CC-SARJ-OPE,pl_wipro_sarjapur,place,0.89306,7.025,0.558,0.0,0.0,1,1,0,1
bk_042478,2026-06-01T03:33:37,3.56,0,0,1,0,cab,cab,cmp_mgroad,MG Road Office,Sales,CC-MGRO-SAL,pl_mg_road_shops,place,0.40785,5.166,4.384,0.0001,0.0518,1,1,1,0
bk_027787,2026-06-01T03:45:04,3.751,0,0,1,0,carpool,carpool,cmp_koramangala,Koramangala Annexe,Support,CC-KORA-SUP,bs_201_01,bus_stop,0.31427,1.054,1.214,0.0002,0.7484,0,0,0,0
bk_035235,2026-06-01T03:58:52,3.981,0,0,1,0,auto,auto,cmp_electronic,Electronic City Hub,Sales,CC-ELEC-SAL,mg_bommanahalli,metro_station,0.30969,3.303,1.152,0.0003,0.3014,1,1,1,0
bk_003164,2026-06-01T03:59:57,3.999,0,0,1,0,bike_taxi,rapido,cmp_koramangala,Koramangala Annexe,Engineering,CC-KORA-ENG,bs_201_01,bus_stop,0.31427,2.193,1.437,0.0004,0.5055,1,1,0,1
bk_017819,2026-06-01T04:04:36,4.077,0,0,1,0,carpool,carpool,cmp_mgroad,MG Road Office,Operations,CC-MGRO-OPE,pl_mg_road_shops,place,0.40785,4.709,0.818,0.0004,0.0998,0,0,0,0
bk_027586,2026-06-01T04:10:40,4.178,0,0,1,0,auto,auto,cmp_whitefield,Old Airport Road Site,Leadership,CC-WHIT-LEA,pl_whitefield_gate,place,0.31978,1.511,1.603,0.0006,0.6471,0,0,0,0
bk_057048,2026-06-01T04:12:34,4.21,0,0,1,0,bike_taxi,rapido,cmp_sarjapur,Sarjapur Road Campus,Operations,CC-SARJ-OPE,bs_356_02,bus_stop,0.0,2.883,0.465,0.0007,0.3745,1,1,0,1
bk_026300,2026-06-01T04:24:33,4.409,0,0,1,0,cab,cab,cmp_sarjapur,Sarjapur Road Campus,Sales,CC-SARJ-SAL,pl_wipro_sarjapur,place,0.89306,11.391,1.061,0.0012,0.0,0,0,0,0
bk_030720,2026-06-01T04:27:30,4.458,0,0,1,0,auto,auto,cmp_mgroad,MG Road Office,Operations,CC-MGRO-OPE,pl_mg_road_shops,place,0.40785,6.918,0.936,0.0014,0.0,1,1,0,1
bk_035301,2026-06-01T04:33:35,4.56,0,0,1,0,carpool,carpool,cmp_electronic,Electronic City Hub,Operations,CC-ELEC-OPE,mg_magadi,metro_station,0.27591,2.178,1.343,0.0018,0.5084,0,0,0,0
bk_056987,2026-06-01T04:47:13,4.787,0,0,1,0,cab,cab,cmp_sarjapur,Sarjapur Road Campus,Engineering,CC-SARJ-ENG,pl_wipro_sarjapur,place,0.89306,1.286,0.563,0.0033,0.6963,1,1,1,0
bk_049829,2026-06-01T04:48:35,4.81,0,0,1,0,bike_taxi,rapido,cmp_mgroad,MG Road Office,Operations,CC-MGRO-OPE,mg_halasuru,metro_station,0.39625,3.368,0.507,0.0035,0.2906,1,1,1,0
bk_053008,2026-06-01T04:58:19,4.972,0,0,1,0,auto,auto,cmp_electronic,Electronic City Hub,Engineering,CC-ELEC-ENG,mg_bommanahalli,metro_station,0.30969,5.536,1.955,0.0053,0.0215,1,1,0,1
bk_057648,2026-06-01T05:06:15,5.104,0,0,1,0,auto,auto,cmp_koramangala,Koramangala Annexe,Support,CC-KORA-SUP,pl_koramangala,place,0.14526,0.648,0.629,0.0073,0.8425,1,1,1,0
bk_019977,2026-06-01T05:12:12,5.204,0,0,1,0,carpool,carpool,cmp_koramangala,Koramangala Annexe,Sales,CC-KORA-SAL,pl_koramangala,place,0.14526,4.327,0.846,0.0093,0.1472,0,0,0,0
bk_008028,2026-06-01T05:15:41,5.261,0,0,1,0,bike_taxi,rapido,cmp_electronic,Electronic City Hub,Engineering,CC-ELEC-ENG,mg_majestic,metro_station,0.0,10.645,0.742,0.0107,0.0,0,0,0,0
bk_038846,2026-06-01T05:18:24,5.307,0,0,1,0,bike_taxi,rapido,cmp_koramangala,Koramangala Annexe,Engineering,CC-KORA-ENG,mg_cubbon,metro_station,0.29515,2.983,0.481,0.0119,0.3566,1,1,0,1
bk_014659,2026-06-01T05:18:43,5.312,0,0,1,0,cab,cab,cmp_whitefield,Old Airport Road Site,Engineering,CC-WHIT-ENG,pl_whitefield_gate,place,0.31978,0.6,2.237,0.012,0.8538,0,0,0,0
bk_026396,2026-06-01T05:23:56,5.399,0,0,1,0,carpool,carpool,cmp_sarjapur,Sarjapur Road Campus,Operations,CC-SARJ-OPE,mg_lalbagh,metro_station,0.0,2.96,1.28,0.0146,0.3607,0,0,0,0
bk_016997,2026-06-01T05:25:18,5.422,0,0,1,0,carpool,carpool,cmp_sarjapur,Sarjapur Road Campus,Support,CC-SARJ-SUP,bs_045_00,bus_stop,0.33444,4.696,2.605,0.0154,0.1013,0,0,0,0
bk_045900,2026-06-01T05:33:19,5.555,0,0,0,0,cab,cab,cmp_mgroad,MG Road Office,Leadership,CC-MGRO-LEA,pl_whitefield_gate,place,0.31978,9.484,0.544,0.0206,0.0,1,1,0,1
bk_020606,2026-06-01T05:40:52,5.681,0,0,0,0,carpool,carpool,cmp_electronic,Electronic City Hub,Operations,CC-ELEC-OPE,mg_bommanahalli,metro_station,0.30969,0.92,1.0,0.0269,0.7791,1,1,0,1
bk_014971,2026-06-01T05:53:05,5.885,0,0,0,0,carpool,carpool,cmp_mgroad,MG Road Office,Operations,CC-MGRO-OPE,mg_jayadeva,metro_station,0.0451,8.826,0.555,0.0406,0.0,1,1,0,1
bk_035359,2026-06-01T05:54:15,5.904,0,0,0,0,auto,auto,cmp_mgroad,MG Road Office,Operations,CC-MGRO-OPE,bs_222_04,bus_stop,0.25583,3.81,1.255,0.0422,0.2205,0,0,0,0
bk_055096,2026-06-01T05:55:07,5.919,0,0,0,0,cab,cab,cmp_sarjapur,Sarjapur Road Campus,Sales,CC-SARJ-SAL,pl_wipro_sarjapur,place,0.89306,1.651,1.358,0.0434,0.6171,1,1,0,1
bk_006178,2026-06-01T05:56:34,5.943,0,0,0,0,auto,auto,cmp_sarjapur,Sarjapur Road Campus,Operations,CC-SARJ-OPE,bs_201_00,bus_stop,0.31913,5.386,2.916,0.0455,0.0327,1,1,0,1
bk_000578,2026-06-01T06:02:21,6.039,0,0,0,0,carpool,carpool,cmp_koramangala,Koramangala Annexe,Operations,CC-KORA-OPE,bs_171_04,bus_stop,0.0,2.302,1.15,0.0547,0.4839,0,0,0,0
bk_053817,2026-06-01T06:05:45,6.096,0,0,0,0,auto,auto,cmp_mgroad,MG Road Office,Support,CC-MGRO-SUP,pl_mg_road_shops,place,0.40785,2.536,0.424,0.0607,0.4386,1,1,0,1
bk_007703,2026-06-01T06:06:34,6.11,0,0,0,0,auto,auto,cmp_whitefield,Old Airport Road Site,Operations,CC-WHIT-OPE,pl_domlur,place,0.98587,7.293,1.555,0.0622,0.0,1,1,0,1
bk_044181,2026-06-01T06:07:12,6.12,0,0,0,0,cab,cab,cmp_mgroad,MG Road Office,Operations,CC-MGRO-OPE,pl_mg_road_shops,place,0.40785,3.931,0.392,0.0634,0.2024,0,0,0,0
bk_040286,2026-06-01T06:08:45,6.146,0,0,0,0,cab,cab,cmp_electronic,Electronic City Hub,Operations,CC-ELEC-OPE,bs_201_06,bus_stop,0.84687,2.654,1.094,0.0665,0.4165,1,1,0,1
bk_042065,2026-06-01T06:14:49,6.247,0,0,0,0,cab,cab,cmp_koramangala,Koramangala Annexe,Operations,CC-KORA-OPE,bs_500_03,bus_stop,0.36506,2.875,1.061,0.0796,0.3758,1,1,0,1
bk_052390,2026-06-01T06:22:40,6.378,0,0,0,0,cab,cab,cmp_mgroad,MG Road Office,Engineering,CC-MGRO-ENG,mg_cubbon,metro_station,0.29515,2.896,0.457,0.0995,0.372,1,1,0,1
bk_003402,2026-06-01T06:26:52,6.448,0,0,0,0,auto,auto,cmp_electronic,Electronic City Hub,Engineering,CC-ELEC-ENG,mg_bommanahalli,metro_station,0.30969,7.201,1.998,0.1117,0.0,1,1,1,0
bk_022193,2026-06-01T06:27:01,6.45,0,0,0,0,bike_taxi,rapido,cmp_sarjapur,Sarjapur Road Campus,Engineering,CC-SARJ-ENG,bs_222_06,bus_stop,0.29634,2.598,0.604,0.1122,0.4269,1,1,0,1
bk_038667,2026-06-01T06:27:29,6.458,0,0,0,0,carpool,carpool,cmp_electronic,Electronic City Hub,Support,CC-ELEC-SUP,bs_012_08,bus_stop,0.14326,2.093,0.443,0.1136,0.5254,1,1,0,1
bk_058363,2026-06-01T06:44:23,6.74,0,0,0,0,bike_taxi,rapido,cmp_mgroad,MG Road Office,Engineering,CC-MGRO-ENG,pl_mg_road_shops,place,0.40785,6.988,0.968,0.1752,0.0,1,1,0,1
bk_057263,2026-06-01T06:49:11,6.82,0,0,0,0,carpool,carpool,cmp_koramangala,Koramangala Annexe,Engineering,CC-KORA-ENG,pl_koramangala,place,0.14526,3.787,1.517,0.1965,0.224,1,0,0,0
bk_055131,2026-06-01T06:51:11,6.853,0,0,0,0,cab,cab,cmp_electronic,Electronic City Hub,Engineering,CC-ELEC-ENG,bs_171_05,bus_stop,0.0,7.806,3.094,0.2059,0.0,1,1,0,1
bk_055138,2026-06-01T06:51:25,6.857,0,0,0,0,carpool,carpool,cmp_electronic,Electronic City Hub,Engineering,CC-ELEC-ENG,bs_356_00,bus_stop,0.01959,5.181,0.914,0.207,0.0504,1,0,0,0
bk_020317,2026-06-01T06:52:51,6.881,0,0,0,0,cab,cab,cmp_electronic,Electronic City Hub,Sales,CC-ELEC-SAL,mg_bommanahalli,metro_station,0.30969,1.378,0.221,0.2139,0.6762,1,1,0,1
bk_020760,2026-06-01T06:54:37,6.91,0,0,0,0,cab,cab,cmp_whitefield,Old Airport Road Site,Operations,CC-WHIT-OPE,pl_whitefield_gate,place,0.31978,1.478,1.113,0.2227,0.6543,1,1,0,1
bk_030433,2026-06-01T06:58:38,6.977,0,0,0,0,auto,auto,cmp_whitefield,Old Airport Road Site,Operations,CC-WHIT-OPE,pl_whitefield_gate,place,0.31978,1.829,1.634,0.2434,0.5797,1,1,0,1
